"x1" "x2" "color0" "color_euc" "color_gkl" "color_poly5" "color_ita"
3 12 "1" "1" "1" "1" "1"
6 13 "1" "1" "1" "1" "1"
2 12 "1" "1" "1" "1" "1"
3 12 "1" "1" "1" "1" "1"
2 12 "1" "1" "1" "1" "1"
3 11 "1" "1" "1" "2" "1"
9 7 "1" "2" "2" "2" "2"
2 15 "1" "1" "1" "1" "1"
2 12 "1" "1" "1" "1" "1"
5 12 "1" "1" "1" "1" "1"
3 16 "1" "1" "1" "1" "1"
5 8 "1" "1" "1" "2" "1"
5 10 "1" "1" "1" "2" "1"
4 12 "1" "1" "1" "1" "1"
2 16 "1" "1" "1" "1" "1"
5 14 "1" "1" "1" "1" "1"
5 10 "1" "1" "1" "2" "1"
4 9 "1" "1" "1" "2" "1"
2 8 "1" "1" "1" "2" "1"
3 8 "1" "1" "1" "2" "1"
3 13 "1" "1" "1" "1" "1"
4 10 "1" "1" "1" "2" "1"
5 20 "1" "1" "1" "1" "1"
4 10 "1" "1" "1" "2" "1"
3 17 "1" "1" "1" "1" "1"
4 13 "1" "1" "1" "1" "1"
5 5 "1" "2" "1" "2" "1"
3 7 "1" "1" "1" "2" "1"
2 7 "1" "1" "1" "2" "1"
5 13 "1" "1" "1" "1" "1"
4 12 "1" "1" "1" "1" "1"
2 12 "1" "1" "1" "1" "1"
5 13 "1" "1" "1" "1" "1"
2 8 "1" "1" "1" "2" "1"
1 16 "1" "1" "1" "1" "1"
5 12 "1" "1" "1" "1" "1"
6 15 "1" "1" "1" "1" "1"
3 14 "1" "1" "1" "1" "1"
3 14 "1" "1" "1" "1" "1"
3 13 "1" "1" "1" "1" "1"
3 8 "1" "1" "1" "2" "1"
2 9 "1" "1" "1" "2" "1"
6 13 "1" "1" "1" "1" "1"
4 12 "1" "1" "1" "1" "1"
4 11 "1" "1" "1" "2" "1"
4 10 "1" "1" "1" "2" "1"
3 13 "1" "1" "1" "1" "1"
5 18 "1" "1" "1" "1" "1"
3 7 "1" "1" "1" "2" "1"
4 14 "1" "1" "1" "1" "1"
6 14 "1" "1" "1" "1" "1"
5 12 "1" "1" "1" "1" "1"
4 15 "1" "1" "1" "1" "1"
3 11 "1" "1" "1" "2" "1"
8 14 "1" "1" "1" "1" "2"
5 12 "1" "1" "1" "1" "1"
5 12 "1" "1" "1" "1" "1"
6 5 "1" "2" "2" "2" "3"
8 7 "1" "2" "2" "2" "2"
3 11 "1" "1" "1" "2" "1"
4 11 "1" "1" "1" "2" "1"
3 24 "1" "1" "1" "1" "1"
5 17 "1" "1" "1" "1" "1"
2 14 "1" "1" "1" "1" "1"
6 16 "1" "1" "1" "1" "1"
2 8 "1" "1" "1" "2" "1"
4 12 "1" "1" "1" "1" "1"
5 12 "1" "1" "1" "1" "1"
3 12 "1" "1" "1" "1" "1"
5 10 "1" "1" "1" "2" "1"
5 14 "1" "1" "1" "1" "1"
3 19 "1" "1" "1" "1" "1"
4 14 "1" "1" "1" "1" "1"
4 9 "1" "1" "1" "2" "1"
5 6 "1" "1" "1" "2" "1"
4 11 "1" "1" "1" "2" "1"
3 10 "1" "1" "1" "2" "1"
5 9 "1" "1" "1" "2" "1"
2 12 "1" "1" "1" "1" "1"
3 10 "1" "1" "1" "2" "1"
3 10 "1" "1" "1" "2" "1"
3 9 "1" "1" "1" "2" "1"
4 10 "1" "1" "1" "2" "1"
10 10 "1" "1" "3" "2" "2"
3 12 "1" "1" "1" "1" "1"
2 8 "1" "1" "1" "2" "1"
2 15 "1" "1" "1" "1" "1"
2 12 "1" "1" "1" "1" "1"
2 12 "1" "1" "1" "1" "1"
4 9 "1" "1" "1" "2" "1"
1 11 "1" "1" "1" "2" "1"
3 11 "1" "1" "1" "2" "1"
5 17 "1" "1" "1" "1" "1"
8 10 "1" "1" "1" "2" "2"
1 8 "1" "1" "1" "2" "1"
8 13 "1" "1" "1" "1" "2"
2 8 "1" "1" "1" "2" "1"
3 6 "1" "1" "1" "2" "1"
5 21 "1" "1" "1" "1" "1"
6 13 "1" "1" "1" "1" "1"
5 7 "1" "1" "1" "2" "1"
1 16 "1" "1" "1" "1" "1"
4 14 "1" "1" "1" "1" "1"
5 12 "1" "1" "1" "1" "1"
2 15 "1" "1" "1" "1" "1"
2 16 "1" "1" "1" "1" "1"
2 9 "1" "1" "1" "2" "1"
8 7 "1" "2" "2" "2" "2"
2 13 "1" "1" "1" "1" "1"
4 10 "1" "1" "1" "2" "1"
7 18 "1" "1" "1" "1" "2"
3 7 "1" "1" "1" "2" "1"
4 10 "1" "1" "1" "2" "1"
6 10 "1" "1" "1" "2" "1"
6 12 "1" "1" "1" "1" "1"
4 10 "1" "1" "1" "2" "1"
2 11 "1" "1" "1" "2" "1"
4 15 "1" "1" "1" "1" "1"
3 6 "1" "1" "1" "2" "1"
3 13 "1" "1" "1" "1" "1"
5 9 "1" "1" "1" "2" "1"
2 13 "1" "1" "1" "1" "1"
4 9 "1" "1" "1" "2" "1"
2 16 "1" "1" "1" "1" "1"
3 14 "1" "1" "1" "1" "1"
1 9 "1" "1" "1" "2" "1"
3 13 "1" "1" "1" "1" "1"
5 12 "1" "1" "1" "1" "1"
3 9 "1" "1" "1" "2" "1"
5 11 "1" "1" "1" "2" "1"
3 12 "1" "1" "1" "1" "1"
4 12 "1" "1" "1" "1" "1"
8 13 "1" "1" "1" "1" "2"
7 11 "1" "1" "1" "2" "1"
4 15 "1" "1" "1" "1" "1"
2 14 "1" "1" "1" "1" "1"
3 15 "1" "1" "1" "1" "1"
3 16 "1" "1" "1" "1" "1"
5 5 "1" "2" "1" "2" "1"
3 9 "1" "1" "1" "2" "1"
5 8 "1" "1" "1" "2" "1"
6 8 "1" "1" "1" "2" "1"
2 11 "1" "1" "1" "2" "1"
4 16 "1" "1" "1" "1" "1"
5 10 "1" "1" "1" "2" "1"
7 6 "1" "2" "2" "2" "1"
6 12 "1" "1" "1" "1" "1"
8 11 "1" "1" "1" "2" "2"
2 7 "1" "1" "1" "2" "1"
6 12 "1" "1" "1" "1" "1"
2 8 "1" "1" "1" "2" "1"
5 18 "1" "1" "1" "1" "1"
3 8 "1" "1" "1" "2" "1"
6 13 "1" "1" "1" "1" "1"
2 8 "1" "1" "1" "2" "1"
3 13 "1" "1" "1" "1" "1"
3 11 "1" "1" "1" "2" "1"
